======================================================================
A11yAgents evaluation
======================================================================
Loading corpus from corpus1/ ...
  180 snippets loaded
Instantiating conditions ...
Total evaluations to run: 1620

[1e3939d9f8e0f78f9c564ec6feb12cc5635c0acb] persona=ade, wcag=2.1.1, expected=passed
  [Condition A warning] axe output has no `tags` field. Running unfiltered baseline. To enable criterion filtering, patch tools/axe_core_agent.py per the docstring in this file.
[62673162e22ee1e95e962522b1d1c3b549dbfc49] persona=ade, wcag=2.1.1, expected=failed
  axe rep 1/3: predicted=failed, progress=28/1620
  axe rep 2/3: predicted=failed, progress=29/1620
  axe rep 3/3: predicted=failed, progress=30/1620
  persona_llm rep 1/3: predicted=failed, progress=31/1620
  persona_llm rep 2/3: predicted=failed, progress=32/1620
  persona_llm rep 3/3: predicted=failed, progress=33/1620
  persona_agent rep 1/3: predicted=failed, progress=34/1620
  persona_agent rep 2/3: predicted=failed, progress=35/1620
  persona_agent rep 3/3: predicted=failed, progress=36/1620
[033e04cced5973596d9aa724feacb027d23b4c53] persona=ade, wcag=2.1.1, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=37/1620
  axe rep 2/3: predicted=failed, progress=38/1620
  axe rep 3/3: predicted=failed, progress=39/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=40/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=41/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=42/1620
  persona_agent rep 1/3: predicted=inapplicable, progress=43/1620
  persona_agent rep 2/3: predicted=inapplicable, progress=44/1620
  persona_agent rep 3/3: predicted=passed, progress=45/1620
[17a371c470316dc29e424101065ebfe9f7b2e990] persona=ade, wcag=2.1.1, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=46/1620
  axe rep 2/3: predicted=failed, progress=47/1620
  axe rep 3/3: predicted=failed, progress=48/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=49/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=50/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=51/1620
  persona_agent rep 1/3: predicted=inapplicable, progress=52/1620
  persona_agent rep 2/3: predicted=inapplicable, progress=53/1620
  persona_agent rep 3/3: predicted=inapplicable, progress=54/1620
[49d79a4e4e4a994a8eb7cf2eaf59c99d2251cac5] persona=ade, wcag=2.2.1, expected=passed
  axe rep 1/3: predicted=failed, progress=55/1620
  axe rep 2/3: predicted=failed, progress=56/1620
  axe rep 3/3: predicted=failed, progress=57/1620
  persona_llm rep 1/3: predicted=failed, progress=58/1620
  persona_llm rep 2/3: predicted=failed, progress=59/1620
  persona_llm rep 3/3: predicted=failed, progress=60/1620
  persona_agent rep 1/3: predicted=failed, progress=61/1620
  persona_agent rep 2/3: predicted=failed, progress=62/1620
  persona_agent rep 3/3: predicted=failed, progress=63/1620
[b5ca868de7980f6944142ecdb849f47ad2cdfb5c] persona=ade, wcag=2.2.1, expected=passed
  axe rep 1/3: predicted=failed, progress=64/1620
  axe rep 2/3: predicted=failed, progress=65/1620
  axe rep 3/3: predicted=failed, progress=66/1620
  persona_llm rep 1/3: predicted=passed, progress=67/1620
  persona_llm rep 2/3: predicted=passed, progress=68/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=69/1620
  persona_agent rep 1/3: predicted=failed, progress=70/1620
  persona_agent rep 2/3: predicted=failed, progress=71/1620
  persona_agent rep 3/3: predicted=failed, progress=72/1620
[56857820788db21498e95a5cbba65d59a9a2b892] persona=ade, wcag=2.2.1, expected=failed
  axe rep 1/3: predicted=failed, progress=73/1620
  axe rep 2/3: predicted=failed, progress=74/1620
  axe rep 3/3: predicted=failed, progress=75/1620
  persona_llm rep 1/3: predicted=failed, progress=76/1620
  persona_llm rep 2/3: predicted=failed, progress=77/1620
  persona_llm rep 3/3: predicted=failed, progress=78/1620
  persona_agent rep 1/3: predicted=failed, progress=79/1620
  persona_agent rep 2/3: predicted=failed, progress=80/1620
  persona_agent rep 3/3: predicted=failed, progress=81/1620
[5d4d5b214459c8a0779600ab39a5668003271c62] persona=ade, wcag=2.2.1, expected=failed
  axe rep 1/3: predicted=failed, progress=82/1620
  axe rep 2/3: predicted=failed, progress=83/1620
  axe rep 3/3: predicted=failed, progress=84/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=85/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=86/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=87/1620
  persona_agent rep 1/3: predicted=failed, progress=88/1620
  persona_agent rep 2/3: predicted=failed, progress=89/1620
  persona_agent rep 3/3: predicted=failed, progress=90/1620
[0bf30cdf02ff26dfca5aa705b7023227da221e05] persona=ade, wcag=2.2.1, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=91/1620
  axe rep 2/3: predicted=failed, progress=92/1620
  axe rep 3/3: predicted=failed, progress=93/1620
  persona_llm rep 1/3: predicted=failed, progress=94/1620
  persona_llm rep 2/3: predicted=failed, progress=95/1620
  persona_llm rep 3/3: predicted=failed, progress=96/1620
  persona_agent rep 1/3: predicted=failed, progress=97/1620
  persona_agent rep 2/3: predicted=failed, progress=98/1620
  persona_agent rep 3/3: predicted=failed, progress=99/1620
[48a600254c0883cd5a72471420b1ac5a532ca6c3] persona=ade, wcag=2.2.1, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=100/1620
  axe rep 2/3: predicted=failed, progress=101/1620
  axe rep 3/3: predicted=failed, progress=102/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=103/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=104/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=105/1620
  persona_agent rep 1/3: predicted=inapplicable, progress=106/1620
  persona_agent rep 2/3: predicted=inapplicable, progress=107/1620
  persona_agent rep 3/3: predicted=inapplicable, progress=108/1620
[ha-2-4-3-pass-01-natural-dom-order] persona=ade, wcag=2.4.3, expected=passed
  axe rep 1/3: predicted=passed, progress=109/1620
  axe rep 2/3: predicted=passed, progress=110/1620
  axe rep 3/3: predicted=passed, progress=111/1620
  persona_llm rep 1/3: predicted=passed, progress=112/1620
  persona_llm rep 2/3: predicted=passed, progress=113/1620
  persona_llm rep 3/3: predicted=passed, progress=114/1620
  persona_agent rep 1/3: predicted=failed, progress=115/1620
  persona_agent rep 2/3: predicted=failed, progress=116/1620
  persona_agent rep 3/3: predicted=failed, progress=117/1620
[ha-2-4-3-pass-02-modal-focus-trap] persona=ade, wcag=2.4.3, expected=passed
  axe rep 1/3: predicted=passed, progress=118/1620
  axe rep 2/3: predicted=passed, progress=119/1620
  axe rep 3/3: predicted=passed, progress=120/1620
  persona_llm rep 1/3: predicted=failed, progress=121/1620
  persona_llm rep 2/3: predicted=failed, progress=122/1620
  persona_llm rep 3/3: predicted=failed, progress=123/1620
  persona_agent rep 1/3: predicted=failed, progress=124/1620
  persona_agent rep 2/3: predicted=failed, progress=125/1620
  persona_agent rep 3/3: predicted=failed, progress=126/1620
[ha-2-4-3-fail-01-positive-tabindex] persona=ade, wcag=2.4.3, expected=failed
  axe rep 1/3: predicted=failed, progress=127/1620
  axe rep 2/3: predicted=failed, progress=128/1620
  axe rep 3/3: predicted=failed, progress=129/1620
  persona_llm rep 1/3: predicted=failed, progress=130/1620
  persona_llm rep 2/3: predicted=failed, progress=131/1620
  persona_llm rep 3/3: predicted=failed, progress=132/1620
  persona_agent rep 1/3: predicted=failed, progress=133/1620
  persona_agent rep 2/3: predicted=failed, progress=134/1620
  persona_agent rep 3/3: predicted=failed, progress=135/1620
[ha-2-4-3-fail-02-visual-reorder-css] persona=ade, wcag=2.4.3, expected=failed
  axe rep 1/3: predicted=passed, progress=136/1620
  axe rep 2/3: predicted=passed, progress=137/1620
  axe rep 3/3: predicted=passed, progress=138/1620
  persona_llm rep 1/3: predicted=failed, progress=139/1620
  persona_llm rep 2/3: predicted=failed, progress=140/1620
  persona_llm rep 3/3: predicted=failed, progress=141/1620
  persona_agent rep 1/3: predicted=failed, progress=142/1620
  persona_agent rep 2/3: predicted=failed, progress=143/1620
  persona_agent rep 3/3: predicted=failed, progress=144/1620
[ha-2-4-3-inap-01-static-content] persona=ade, wcag=2.4.3, expected=inapplicable
  axe rep 1/3: predicted=passed, progress=145/1620
  axe rep 2/3: predicted=passed, progress=146/1620
  axe rep 3/3: predicted=passed, progress=147/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=148/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=149/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=150/1620
  persona_agent rep 1/3: predicted=inapplicable, progress=151/1620
  persona_agent rep 2/3: predicted=inapplicable, progress=152/1620
  persona_agent rep 3/3: predicted=inapplicable, progress=153/1620
[ha-2-4-3-inap-02-single-interactive] persona=ade, wcag=2.4.3, expected=inapplicable
  axe rep 1/3: predicted=passed, progress=154/1620
  axe rep 2/3: predicted=passed, progress=155/1620
  axe rep 3/3: predicted=passed, progress=156/1620
  persona_llm rep 1/3: predicted=failed, progress=157/1620
  persona_llm rep 2/3: predicted=failed, progress=158/1620
  persona_llm rep 3/3: predicted=failed, progress=159/1620
  persona_agent rep 1/3: predicted=failed, progress=160/1620
  persona_agent rep 2/3: predicted=failed, progress=161/1620
  persona_agent rep 3/3: predicted=failed, progress=162/1620
[52be6331dc0978990a8b806a9a4a84bf738a43e1] persona=ade, wcag=2.4.7, expected=passed
  axe rep 1/3: predicted=failed, progress=163/1620
  axe rep 2/3: predicted=failed, progress=164/1620
  axe rep 3/3: predicted=failed, progress=165/1620
  persona_llm rep 1/3: predicted=passed, progress=166/1620
  persona_llm rep 2/3: predicted=passed, progress=167/1620
  persona_llm rep 3/3: predicted=passed, progress=168/1620
  persona_agent rep 1/3: predicted=failed, progress=169/1620
  persona_agent rep 2/3: predicted=failed, progress=170/1620
  persona_agent rep 3/3: predicted=failed, progress=171/1620
[8f296b7a417523e9c769761dd41b703c75d90019] persona=ade, wcag=2.4.7, expected=passed
  axe rep 1/3: predicted=failed, progress=172/1620
  axe rep 2/3: predicted=failed, progress=173/1620
  axe rep 3/3: predicted=failed, progress=174/1620
  persona_llm rep 1/3: predicted=failed, progress=175/1620
  persona_llm rep 2/3: predicted=failed, progress=176/1620
  persona_llm rep 3/3: predicted=failed, progress=177/1620
  persona_agent rep 1/3: predicted=failed, progress=178/1620
  persona_agent rep 2/3: predicted=failed, progress=179/1620
  persona_agent rep 3/3: predicted=failed, progress=180/1620
[f1c9efb4c8d1b5f7870c693bce2e6ca046dd768d] persona=ade, wcag=2.4.7, expected=failed
  axe rep 1/3: predicted=failed, progress=181/1620
  axe rep 2/3: predicted=failed, progress=182/1620
  axe rep 3/3: predicted=failed, progress=183/1620
  persona_llm rep 1/3: predicted=failed, progress=184/1620
  persona_llm rep 2/3: predicted=failed, progress=185/1620
  persona_llm rep 3/3: predicted=failed, progress=186/1620
  persona_agent rep 1/3: predicted=failed, progress=187/1620
  persona_agent rep 2/3: predicted=failed, progress=188/1620
  persona_agent rep 3/3: predicted=failed, progress=189/1620
[ha-2-4-7-fail-01-focus-suppressed] persona=ade, wcag=2.4.7, expected=failed
  axe rep 1/3: predicted=passed, progress=190/1620
  axe rep 2/3: predicted=passed, progress=191/1620
  axe rep 3/3: predicted=passed, progress=192/1620
  persona_llm rep 1/3: predicted=failed, progress=193/1620
  persona_llm rep 2/3: predicted=failed, progress=194/1620
  persona_llm rep 3/3: predicted=failed, progress=195/1620
  persona_agent rep 1/3: predicted=failed, progress=196/1620
  persona_agent rep 2/3: predicted=failed, progress=197/1620
  persona_agent rep 3/3: predicted=failed, progress=198/1620
[90789ad82a761b7697418e8cb403db103f0925a2] persona=ade, wcag=2.4.7, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=199/1620
  axe rep 2/3: predicted=failed, progress=200/1620
  axe rep 3/3: predicted=failed, progress=201/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=202/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=203/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=204/1620
  persona_agent rep 1/3: predicted=inapplicable, progress=205/1620
  persona_agent rep 2/3: predicted=inapplicable, progress=206/1620
  persona_agent rep 3/3: predicted=inapplicable, progress=207/1620
[b12f1f45eef29c30197ca3bda79d793cd90eeadd] persona=ade, wcag=2.4.7, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=208/1620
  axe rep 2/3: predicted=failed, progress=209/1620
  axe rep 3/3: predicted=failed, progress=210/1620
  persona_llm rep 1/3: predicted=failed, progress=211/1620
  persona_llm rep 2/3: predicted=failed, progress=212/1620
  persona_llm rep 3/3: predicted=failed, progress=213/1620
  persona_agent rep 1/3: predicted=failed, progress=214/1620
  persona_agent rep 2/3: predicted=failed, progress=215/1620
  persona_agent rep 3/3: predicted=failed, progress=216/1620
[ha-2-5-5-pass-01-large-buttons] persona=ade, wcag=2.5.5, expected=passed
  axe rep 1/3: predicted=passed, progress=217/1620
  axe rep 2/3: predicted=passed, progress=218/1620
  axe rep 3/3: predicted=passed, progress=219/1620
  persona_llm rep 1/3: predicted=passed, progress=220/1620
  persona_llm rep 2/3: predicted=failed, progress=221/1620
  persona_llm rep 3/3: predicted=failed, progress=222/1620
  persona_agent rep 1/3: predicted=failed, progress=223/1620
  persona_agent rep 2/3: predicted=failed, progress=224/1620
  persona_agent rep 3/3: predicted=failed, progress=225/1620
[ha-2-5-5-pass-02-icon-with-padding] persona=ade, wcag=2.5.5, expected=passed
  axe rep 1/3: predicted=failed, progress=226/1620
  axe rep 2/3: predicted=failed, progress=227/1620
  axe rep 3/3: predicted=failed, progress=228/1620
  persona_llm rep 1/3: predicted=passed, progress=229/1620
  persona_llm rep 2/3: predicted=passed, progress=230/1620
  persona_llm rep 3/3: predicted=passed, progress=231/1620
  persona_agent rep 1/3: predicted=failed, progress=232/1620
  persona_agent rep 2/3: predicted=failed, progress=233/1620
  persona_agent rep 3/3: predicted=failed, progress=234/1620
[ha-2-5-5-fail-01-tiny-icons] persona=ade, wcag=2.5.5, expected=failed
  axe rep 1/3: predicted=failed, progress=235/1620
  axe rep 2/3: predicted=failed, progress=236/1620
  axe rep 3/3: predicted=failed, progress=237/1620
  persona_llm rep 1/3: predicted=failed, progress=238/1620
  persona_llm rep 2/3: predicted=failed, progress=239/1620
  persona_llm rep 3/3: predicted=failed, progress=240/1620
  persona_agent rep 1/3: predicted=failed, progress=241/1620
  persona_agent rep 2/3: predicted=failed, progress=242/1620
  persona_agent rep 3/3: predicted=failed, progress=243/1620
[ha-2-5-5-fail-02-short-buttons] persona=ade, wcag=2.5.5, expected=failed
  axe rep 1/3: predicted=passed, progress=244/1620
  axe rep 2/3: predicted=passed, progress=245/1620
  axe rep 3/3: predicted=passed, progress=246/1620
  persona_llm rep 1/3: predicted=failed, progress=247/1620
  persona_llm rep 2/3: predicted=failed, progress=248/1620
  persona_llm rep 3/3: predicted=failed, progress=249/1620
  persona_agent rep 1/3: predicted=failed, progress=250/1620
  persona_agent rep 2/3: predicted=failed, progress=251/1620
  persona_agent rep 3/3: predicted=failed, progress=252/1620
[ha-2-5-5-inap-01-inline-link-in-text] persona=ade, wcag=2.5.5, expected=inapplicable
  axe rep 1/3: predicted=passed, progress=253/1620
  axe rep 2/3: predicted=passed, progress=254/1620
  axe rep 3/3: predicted=passed, progress=255/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=256/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=257/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=258/1620
  persona_agent rep 1/3: predicted=inapplicable, progress=259/1620
  persona_agent rep 2/3: predicted=inapplicable, progress=260/1620
  persona_agent rep 3/3: predicted=inapplicable, progress=261/1620
[ha-2-5-5-inap-02-no-interactive] persona=ade, wcag=2.5.5, expected=inapplicable
  axe rep 1/3: predicted=passed, progress=262/1620
  axe rep 2/3: predicted=passed, progress=263/1620
  axe rep 3/3: predicted=passed, progress=264/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=265/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=266/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=267/1620
  persona_agent rep 1/3: predicted=inapplicable, progress=268/1620
  persona_agent rep 2/3: predicted=inapplicable, progress=269/1620
  persona_agent rep 3/3: predicted=inapplicable, progress=270/1620
[0411dce372604b1c0b14fe48aae6190882e8110c] persona=elias, wcag=1.3.5, expected=passed
  axe rep 1/3: predicted=failed, progress=271/1620
  axe rep 2/3: predicted=failed, progress=272/1620
  axe rep 3/3: predicted=failed, progress=273/1620
  persona_llm rep 1/3: predicted=failed, progress=274/1620
  persona_llm rep 2/3: predicted=failed, progress=275/1620
  persona_llm rep 3/3: predicted=failed, progress=276/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=277/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=278/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=279/1620
[35d0948a2cb309923e9a7cc5dd99a8ffc975088b] persona=elias, wcag=1.3.5, expected=passed
  axe rep 1/3: predicted=failed, progress=280/1620
  axe rep 2/3: predicted=failed, progress=281/1620
  axe rep 3/3: predicted=failed, progress=282/1620
  persona_llm rep 1/3: predicted=failed, progress=283/1620
  persona_llm rep 2/3: predicted=failed, progress=284/1620
  persona_llm rep 3/3: predicted=failed, progress=285/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=286/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=287/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=288/1620
[130d7f761a6a43b896b2f1d0ded311da6a7aebf1] persona=elias, wcag=1.3.5, expected=failed
  axe rep 1/3: predicted=failed, progress=289/1620
  axe rep 2/3: predicted=failed, progress=290/1620
  axe rep 3/3: predicted=failed, progress=291/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=292/1620
  persona_llm rep 2/3: predicted=failed, progress=293/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=294/1620
  persona_agent rep 1/3: predicted=failed, progress=295/1620
  persona_agent rep 2/3: predicted=failed, progress=296/1620
  persona_agent rep 3/3: predicted=failed, progress=297/1620
[2512c24c9a793fa8a30958e203090f955a3fc262] persona=elias, wcag=1.3.5, expected=failed
  axe rep 1/3: predicted=failed, progress=298/1620
  axe rep 2/3: predicted=failed, progress=299/1620
  axe rep 3/3: predicted=failed, progress=300/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=301/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=302/1620
  persona_llm rep 3/3: predicted=failed, progress=303/1620
  persona_agent rep 1/3: predicted=failed, progress=304/1620
  persona_agent rep 2/3: predicted=failed, progress=305/1620
  persona_agent rep 3/3: predicted=failed, progress=306/1620
[3a6b86ed813d4c34e566641e9fcd571e16aeae6f] persona=elias, wcag=1.3.5, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=307/1620
  axe rep 2/3: predicted=failed, progress=308/1620
  axe rep 3/3: predicted=failed, progress=309/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=310/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=311/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=312/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=313/1620
  persona_agent rep 2/3: predicted=failed, progress=314/1620
  persona_agent rep 3/3: predicted=failed, progress=315/1620
[41c0b66bc0208aef009343935649f2bec3ae778d] persona=elias, wcag=1.3.5, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=316/1620
  axe rep 2/3: predicted=failed, progress=317/1620
  axe rep 3/3: predicted=failed, progress=318/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=319/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=320/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=321/1620
  persona_agent rep 1/3: predicted=failed, progress=322/1620
WCAG 1.4.12: INAPPLICABLE — no text content found

  persona_agent rep 2/3: predicted=failed, progress=323/1620
  persona_agent rep 3/3: predicted=failed, progress=324/1620
[0dcc810409a65f29f559c4826afbaa71bcba6ae0] persona=elias, wcag=1.4.12, expected=passed
  axe rep 1/3: predicted=failed, progress=325/1620
  axe rep 2/3: predicted=failed, progress=326/1620
  axe rep 3/3: predicted=failed, progress=327/1620
  persona_llm rep 1/3: predicted=failed, progress=328/1620
  persona_llm rep 2/3: predicted=failed, progress=329/1620
  persona_llm rep 3/3: predicted=failed, progress=330/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=331/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=332/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=333/1620
[15905a239d6755102be6a60aa152ad963d5b1dbb] persona=elias, wcag=1.4.12, expected=passed
  axe rep 1/3: predicted=failed, progress=334/1620
  axe rep 2/3: predicted=failed, progress=335/1620
  axe rep 3/3: predicted=failed, progress=336/1620
  persona_llm rep 1/3: predicted=failed, progress=337/1620
  persona_llm rep 2/3: predicted=failed, progress=338/1620
  persona_llm rep 3/3: predicted=failed, progress=339/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=340/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=341/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=342/1620
[1134eadf72b2a40c03b8bbf486ebfd3bb34cf986] persona=elias, wcag=1.4.12, expected=failed
  axe rep 1/3: predicted=failed, progress=343/1620
  axe rep 2/3: predicted=failed, progress=344/1620
  axe rep 3/3: predicted=failed, progress=345/1620
  persona_llm rep 1/3: predicted=failed, progress=346/1620
  persona_llm rep 2/3: predicted=failed, progress=347/1620
  persona_llm rep 3/3: predicted=failed, progress=348/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=349/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=350/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=351/1620
[31d185e51a8be241f8a75d09deae69d3937f0329] persona=elias, wcag=1.4.12, expected=failed
  axe rep 1/3: predicted=failed, progress=352/1620
  axe rep 2/3: predicted=failed, progress=353/1620
  axe rep 3/3: predicted=failed, progress=354/1620
  persona_llm rep 1/3: predicted=failed, progress=355/1620
  persona_llm rep 2/3: predicted=failed, progress=356/1620
  persona_llm rep 3/3: predicted=failed, progress=357/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=358/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=359/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=failed, progress=360/1620
[0128de1beb7862298366680f6920bd3b3874d752] persona=elias, wcag=1.4.12, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=361/1620
  axe rep 2/3: predicted=failed, progress=362/1620
  axe rep 3/3: predicted=failed, progress=363/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=364/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=365/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=366/1620
WCAG 1.4.12: INAPPLICABLE — no text content found

  persona_agent rep 1/3: predicted=inapplicable, progress=367/1620
WCAG 1.4.12: INAPPLICABLE — no text content found

  persona_agent rep 2/3: predicted=inapplicable, progress=368/1620
WCAG 1.4.12: INAPPLICABLE — no text content found

  persona_agent rep 3/3: predicted=inapplicable, progress=369/1620
[0f8063a09807c4bf8d5f7c796cbf0f2aa20e7e57] persona=elias, wcag=1.4.12, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=370/1620
  axe rep 2/3: predicted=failed, progress=371/1620
  axe rep 3/3: predicted=failed, progress=372/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=373/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=374/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=375/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=inapplicable, progress=376/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=inapplicable, progress=377/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 3/3: predicted=inapplicable, progress=378/1620
[04344f745bd9bad51292748e7893f146c045aae4] persona=elias, wcag=1.4.3, expected=passed
  axe rep 1/3: predicted=failed, progress=379/1620
  axe rep 2/3: predicted=failed, progress=380/1620
  axe rep 3/3: predicted=failed, progress=381/1620
  persona_llm rep 1/3: predicted=failed, progress=382/1620
  persona_llm rep 2/3: predicted=failed, progress=383/1620
  persona_llm rep 3/3: predicted=failed, progress=384/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 1/3: predicted=failed, progress=385/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
  persona_agent rep 2/3: predicted=failed, progress=386/1620
Processing for WCAG 1.4.12 text spacing...

Spacing applied: yes
