page_id,persona,wcag,wcag_label,source,snippet_id,html_path,firstpass_label,firstpass_reason
P026,ian,2.2.2,inapplicable,ACT,0d1564a1311c77d8693a9f839e1d752df501d441,corpus1/ian/2.2.2/inapplicable/0d1564a1311c77d8693a9f839e1d752df501d441.html,Not-Encountered,Too little content to present clarity/structure barriers.
P027,ian,3.1.4,inapplicable,hand,ha-3-1-4-inap-01-no-abbreviations,corpus1/ian/3.1.4/inapplicable/ha-3-1-4-inap-01-no-abbreviations.html,No-Barrier,Content appears clear and stable.
P028,lakshmi,2.1.1,passed,ACT,270a22a8e4ce4d9f073e1484a0d807705207a1d7,corpus1/lakshmi/2.1.1/passed/270a22a8e4ce4d9f073e1484a0d807705207a1d7.html,No-Barrier,Meaningful elements appear to have names/roles/alt.
P029,lakshmi,1.3.1,passed,ACT,1acc47f25d4931c25fe3efbb676af6fd4e2ee57e,corpus1/lakshmi/1.3.1/passed/1acc47f25d4931c25fe3efbb676af6fd4e2ee57e.html,Not-Encountered,No images or controls; nothing for screen-reader perception to fail on.
P030,lakshmi,4.1.2,passed,ACT,08c5575023e8bf16caabcf01a1c8d40fe6ecaf94,corpus1/lakshmi/4.1.2/passed/08c5575023e8bf16caabcf01a1c8d40fe6ecaf94.html,Not-Encountered,No images or controls; nothing for screen-reader perception to fail on.
P031,lakshmi,2.4.1,failed,hand,ha-2-4-1-fail-01-no-skip-mechanism,corpus1/lakshmi/2.4.1/failed/ha-2-4-1-fail-01-no-skip-mechanism.html,Barrier,"WCAG failure on Lakshmi-relevant criterion (name/role/value, alt, structure)."
P032,lakshmi,4.1.2,failed,ACT,04342a3834e0003f3057807937d617e432e83d33,corpus1/lakshmi/4.1.2/failed/04342a3834e0003f3057807937d617e432e83d33.html,Barrier,"WCAG failure on Lakshmi-relevant criterion (name/role/value, alt, structure)."
P033,lakshmi,4.1.2,failed,ACT,004258203c8bf167307b6ed79f765115d16a6357,corpus1/lakshmi/4.1.2/failed/004258203c8bf167307b6ed79f765115d16a6357.html,Barrier,"WCAG failure on Lakshmi-relevant criterion (name/role/value, alt, structure)."
P034,lakshmi,4.1.2,inapplicable,ACT,0666607827b30150ed0a5be439f58623b3222131,corpus1/lakshmi/4.1.2/inapplicable/0666607827b30150ed0a5be439f58623b3222131.html,No-Barrier,Meaningful elements appear to have names/roles/alt.
P035,lakshmi,4.1.2,inapplicable,ACT,058668cee446d08989bf24d5ce3413dc2cda9975,corpus1/lakshmi/4.1.2/inapplicable/058668cee446d08989bf24d5ce3413dc2cda9975.html,Not-Encountered,No images or controls; nothing for screen-reader perception to fail on.
P036,lakshmi,1.3.1,inapplicable,ACT,0c53e1a110f5191e74bd97da2c92c79c40d76eb2,corpus1/lakshmi/1.3.1/inapplicable/0c53e1a110f5191e74bd97da2c92c79c40d76eb2.html,Not-Encountered,No images or controls; nothing for screen-reader perception to fail on.
P037,sophie,2.4.8,passed,hand,ha-2-4-8-pass-02-current-link-highlighted,corpus1/sophie/2.4.8/passed/ha-2-4-8-pass-02-current-link-highlighted.html,No-Barrier,Content and any form appear manageable with clear guidance.
P038,sophie,3.3.1,passed,ACT,baa48e5f5a149f6d4d8038b693477ec94176d5a0,corpus1/sophie/3.3.1/passed/baa48e5f5a149f6d4d8038b693477ec94176d5a0.html,No-Barrier,Content and any form appear manageable with clear guidance.
P039,sophie,3.3.2,passed,axe,axe-form-field-multiple-labels-passed-02,corpus1/sophie/3.3.2/passed/axe-form-field-multiple-labels-passed-02.html,No-Barrier,Content and any form appear manageable with clear guidance.
P040,sophie,3.1.4,failed,hand,ha-3-1-4-fail-01-bare-acronyms,corpus1/sophie/3.1.4/failed/ha-3-1-4-fail-01-bare-acronyms.html,Barrier,WCAG failure on Sophie-relevant criterion (errors/labels/plain-language/timing).
P041,sophie,2.4.8,failed,hand,ha-2-4-8-fail-01-deep-page-no-trail,corpus1/sophie/2.4.8/failed/ha-2-4-8-fail-01-deep-page-no-trail.html,Barrier,WCAG failure on Sophie-relevant criterion (errors/labels/plain-language/timing).
P042,sophie,2.2.1,failed,ACT,5d4d5b214459c8a0779600ab39a5668003271c62,corpus1/sophie/2.2.1/failed/5d4d5b214459c8a0779600ab39a5668003271c62.html,Barrier,Time limit can cause loss of slowly-entered work.
P043,sophie,2.4.8,inapplicable,hand,ha-2-4-8-inap-01-homepage,corpus1/sophie/2.4.8/inapplicable/ha-2-4-8-inap-01-homepage.html,Not-Encountered,No form or dense content; nothing Sophie-relevant.
P044,sophie,3.3.2,inapplicable,hand,ha-3-3-2-inap-01-no-inputs,corpus1/sophie/3.3.2/inapplicable/ha-3-3-2-inap-01-no-inputs.html,No-Barrier,Content and any form appear manageable with clear guidance.
P045,sophie,3.3.1,inapplicable,ACT,ac63f6ffcb1831a5614e525627822e7a6f15343d,corpus1/sophie/3.3.1/inapplicable/ac63f6ffcb1831a5614e525627822e7a6f15343d.html,Not-Encountered,No form or dense content; nothing Sophie-relevant.
P046,stefan,3.1.4,passed,hand,ha-3-1-4-pass-01-abbr-with-title,corpus1/stefan/3.1.4/passed/ha-3-1-4-pass-01-abbr-with-title.html,No-Barrier,"Readable, stable, navigable."
P047,stefan,2.4.5,passed,hand,ha-2-4-5-pass-02-nav-sitemap-breadcrumb,corpus1/stefan/2.4.5/passed/ha-2-4-5-pass-02-nav-sitemap-breadcrumb.html,No-Barrier,"Readable, stable, navigable."
P048,stefan,1.4.12,passed,ACT,15905a239d6755102be6a60aa152ad963d5b1dbb,corpus1/stefan/1.4.12/passed/15905a239d6755102be6a60aa152ad963d5b1dbb.html,No-Barrier,"Readable, stable, navigable."
P049,stefan,2.4.6,failed,ACT,1e52060759a535934176a5a981446066aad6b31f,corpus1/stefan/2.4.6/failed/1e52060759a535934176a5a981446066aad6b31f.html,Barrier,WCAG failure on Stefan-relevant criterion (spacing/motion/nav/headings/abbr).
P050,stefan,2.4.6,failed,ACT,2f1d964151ff5269a6027371956ee3b4a4a23fe7,corpus1/stefan/2.4.6/failed/2f1d964151ff5269a6027371956ee3b4a4a23fe7.html,Barrier,WCAG failure on Stefan-relevant criterion (spacing/motion/nav/headings/abbr).
P051,stefan,2.2.2,failed,ACT,8f0a05348afb0a218f3934157dad1b4d1673ea6a,corpus1/stefan/2.2.2/failed/8f0a05348afb0a218f3934157dad1b4d1673ea6a.html,Barrier,WCAG failure on Stefan-relevant criterion (spacing/motion/nav/headings/abbr).
P052,stefan,1.4.12,inapplicable,ACT,0f8063a09807c4bf8d5f7c796cbf0f2aa20e7e57,corpus1/stefan/1.4.12/inapplicable/0f8063a09807c4bf8d5f7c796cbf0f2aa20e7e57.html,No-Barrier,"Readable, stable, navigable."
P053,stefan,2.2.2,inapplicable,ACT,37668beb45f00408309f73569e36e63dc9327620,corpus1/stefan/2.2.2/inapplicable/37668beb45f00408309f73569e36e63dc9327620.html,No-Barrier,"Readable, stable, navigable."
P054,stefan,3.1.4,inapplicable,hand,ha-3-1-4-inap-01-no-abbreviations,corpus1/stefan/3.1.4/inapplicable/ha-3-1-4-inap-01-no-abbreviations.html,No-Barrier,"Readable, stable, navigable."
